"dm, P, ""N(d), s(d)"""
"10,5,""{-11 + d + 2*d^2, -1 - d/5 + (2*d^2)/5}"""
"10,5,""{-6 + d + 2*d^2, -1/5*d + (2*d^2)/5}"""
"10,5,""{4 + d + 2*d^2, -1/5*d + (2*d^2)/5}"""
"10,5,""{-5 + 2*d + 2*d^2, (2*d^2)/5}"""
"11,5,""{2*d^2, -1 - (2*d)/5 + (2*d^2)/5}"""
"11,5,""{2*d^2, 1 - (2*d)/5 + (2*d^2)/5}"""
"11,5,""{2*d^2, -1 - (14*d)/5 + (4*d^2)/5}"""
"11,5,""{2*d^2, 1 - (14*d)/5 + (4*d^2)/5}"""
"11,5,""{2*d^2, -1 + (6*d)/5 + (4*d^2)/5}"""
"11,5,""{2*d^2, 1 + (6*d)/5 + (4*d^2)/5}"""
"11,5,""{-5 + 2*d^2, (-2*d)/5 + (2*d^2)/5}"""
"11,5,""{3 + 2*d^2, 9/5 + (2*d)/5 + (4*d^2)/5}"""
"11,5,""{5 + 2*d^2, 2 - (2*d)/5 + (2*d^2)/5}"""
"11,5,""{5 - 2*d + 2*d^2, 2/5 - (4*d)/5 + (2*d^2)/5}"""
"11,5,""{-5 - d + 2*d^2, 1/5 - (3*d)/5 + (2*d^2)/5}"""
"11,5,""{-d + 2*d^2, -4/5 - (3*d)/5 + (2*d^2)/5}"""
"11,5,""{-d + 2*d^2, 6/5 - (3*d)/5 + (2*d^2)/5}"""
"11,5,""{-d + 2*d^2, 2/5 - (16*d)/5 + (4*d^2)/5}"""
"11,5,""{-d + 2*d^2, 12/5 - (16*d)/5 + (4*d^2)/5}"""
"11,5,""{-d + 2*d^2, -8/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{-d + 2*d^2, 2/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{5 - d + 2*d^2, 1/5 - (3*d)/5 + (2*d^2)/5}"""
"11,5,""{7 - d + 2*d^2, 16/5 + (4*d^2)/5}"""
"11,5,""{-11 + d + 2*d^2, -28/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{-6 + d + 2*d^2, -18/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{-5 + d + 2*d^2, -11/5 - d/5 + (2*d^2)/5}"""
"11,5,""{d + 2*d^2, -6/5 - d/5 + (2*d^2)/5}"""
"11,5,""{d + 2*d^2, 4/5 - d/5 + (2*d^2)/5}"""
"11,5,""{d + 2*d^2, -12/5 - (12*d)/5 + (4*d^2)/5}"""
"11,5,""{d + 2*d^2, -2/5 - (12*d)/5 + (4*d^2)/5}"""
"11,5,""{d + 2*d^2, -2/5 + (8*d)/5 + (4*d^2)/5}"""
"11,5,""{4 + d + 2*d^2, 12/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{5 + d + 2*d^2, 9/5 - d/5 + (2*d^2)/5}"""
"11,5,""{-5 + 2*d + 2*d^2, -12/5 + (2*d^2)/5}"""
"11,5,""{-5 + 2*d + 2*d^2, -3 + (6*d)/5 + (4*d^2)/5}"""
"12,5,""{2*d^2, -1 + (26*d)/5 + (2*d^2)/5}"""
"12,5,""{2*d^2, 1 + (26*d)/5 + (2*d^2)/5}"""
"12,5,""{2*d^2, -1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{2*d^2, 1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{-7 + 2*d^2, -14/5 - (2*d)/5 + (2*d^2)/5}"""
"12,5,""{-5 + 2*d^2, -3 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{3 + 2*d^2, 3/5 - (2*d)/5 + (4*d^2)/5}"""
"12,5,""{5 + 2*d^2, 1 + (2*d)/5 + (4*d^2)/5}"""
